"SSID","Filename","Creator[8101]","Culture","Title[8103]","Image View Description[8104]","Image View Type[8105]","Date[8106]","Earliest Date[8107]","Latest Date[8108]","Style/Period[8109]","Materials/Techniques[8110]","Measurements[8111]","Artstor Classification[8112]","Work Type[8113]","Repository[8114]","Accession Number[8115]","Location[3200]","Creation/Discovery Site[8117]","Latitude[8118]","Longitude[8119]","Elevation[8120]","Country[8121]","Description[8122]","Subject[8123]","Relationships[8124]","Image Source[8125]","Photographer[8126]","Image Date[8127]","Local Record ID[8128]","Rights[8129]","Historic Site Name[8137]","Notes[8138]","Faculty requestor[8139]"
616804,"i12-03023.tif",,,"Volos Museum Stele #352",,,"Hellenistic",,,,,,,"Painting","Volos Museum",352,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. (Date of slide unknown; possibly 1960s)",,,"i12-03023","Copyright: IFA/NYU","Demetrias, Greece",,
617303,"i12-03816.tif","Smythe, Francisco (Chilean, 1952-1998)","Chilean","Ciego (Blind)",,,1978,,,,"acrylic, tape, ink and pencil on paper, photograph, and calendar",,,"Painting","Collection Paulina Humeres, Santiago, Región Metropolitana de Santiago, Chile",,,,,,,,"from the series San Diego (1976-1978); 110 x 80 cm",,,"""Copiar el Edén: Arte reciente en Chile / Copying Eden: Recent Art in Chile,"" p. 511",,,"i12-03816",,,,
617352,"i12-04388.tif",,,"Bishop Juan de Palafox y Mendoza",,,"17-18c",,,,,,,"Painting","Carmelite Church, Puebla, Puebla, Mexico",,,,,,,,,,,"""Artes de Mexico"" (40), p. 24",,,"i12-04388",,,,
617465,"i12-04579.tif",,"Egyptian","King (?) venerating Osiris",,,,,,,"papyrus",,,"Painting",,,"Abydos, Egypt",,,,,,,,,"D. O'Connor; Abydos archive",,,"i12-04579",,,"D. O'Connor, spring 2012, FINH-GA 2087-001",
619798,"i12-05894.tif","Malevich, Kazimir (Russian painter, 1878-1935)","Suprematism","Suprematist Composition (White on White)",,,1918,,,,"oil on canvas",,,"Painting","Museum of Modern Art, New York, NY, USA",817.37,,,,,,,,,,"Drutt, ""Kazimir Malevich: Suprematism,"" p. 201.",,,"i12-05894",,,,
620885,"i12-07042.tif","Borgoña, Juan de (Burgundian, active in Spain painter, active from 1495; died ca. 1535)","Spanish","Annunciation",,,"1509-1511",,,,,,,"Wall painting","Toledo Cathedral, Chapter House (Sala Capitular), Toledo, Castile-La Mancha, Spain",,,,,,,,,,,"Mateo Gómez, ""Juan de Borgoña,"" 2004, p. 76.",,,"i12-07042",,,"J. Brown, summer 2012",
620889,"i12-07046.tif","Borgoña, Juan de (Burgundian, active in Spain painter, active from 1495; died ca. 1535)","Spanish","Imposition of the Chasuble on Saint Ildefonso",,,"1509-1511",,,,,,,"Wall painting","Toledo Cathedral, Chapter House (Sala Capitular), Toledo, Castile-La Mancha, Spain",,,,,,,,,,,"Mateo Gómez, ""Juan de Borgoña,"" 2004, p. 82.",,,"i12-07046",,,"J. Brown, summer 2012",
616113,"i12-02748.tif","Bleeps.gr","Greek, Contemporary","Woman clutching sack of Euros",,,,,,,,,,"Painting",,,"Athens, Greece",,,,,,"On a graffitied building wall in Athens, an image of a woman clutching a sac of euros links the current  Greek debt crisis to the restoration of democracy in Greece in 1974. By street artist Bleeps.gr.",,,"""The New York Times,"" October 15, 2011, p. c5.",,,"i12-02748",,,"G. Kopcke, fall 2011. Modern comparative.",
616749,"i12-02987.tif",,"Greek, Hellenistic","Volos Museum Stele #18",,,"Hellenistic",,,,,,,"Painting","Volos Museum, Volos, Greece",18,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. (Date of slide unknown; likely 1960s)",,,"i12-02987","Copyright: IFA/NYU","Demetrias, Greece",,
616776,"i12-03007.tif",,,"Stele of Aphrodeisia",,,"Hellenistic",,,,,,,"Painting","Volos Museum",28,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003.",,,"i12-03007",,"Demetrias, Greece","(Arvanitopoullos, YS pl. 6)",
616790,"i12-03015.tif",,,"Volos Museum Stele #113",,,"Hellenistic",,,,,,,"Painting","Volos Museum",113,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003.",,,"i12-03015",,"Demetrias, Greece",,
617961,"i12-05287.tif",,"Greek, Macedonia","Detail from painted marble Kline from Potidaea",,,"late 4c BC",,,,"marble",,,"Painting","Thessaloniki Archaeological Museum, Thessaloniki, Greece",,,,,,,,,,,"Sophie Descamps-Lequime, ""Au Royaume d'Alexander le Grand: La Macedoine Antique,""  p. 665, fig. 143.",,,"i12-05287",,,,
620810,"i12-06860.tif","Dubois, François (French painter, 1790-1871)",,"Europe (Europa)",,,1811,,,,"oil on canvas",,,"Painting","Collection du Mobilier national, Paris, France","GOB 539",,,,,,,"From a container for a tapestry series entitled ""Les Quatre Parties du Monde"" (The Four Corners of the World), commissioned for the Tuileries Palace. Height 270 cm. Width 204 cm. After a drawing by Jacques-Louis de la Hamayde de Saint-Ange.",,,"Marie-Louise von Plessen (ed.), ""Idee Europa: Entwürfe zum 'Ewigen Frieden'"" (exhibition catalog 2003), p. 165, fig. V/15.",,,"i12-06860",,,"G. Kopcke, fall 2012. Modern comparative. Napoleon. Pax Romana. European Union. Rome North of the Alps.",
620924,"i12-07172.tif","Chirico, Giorgio de (Italian painter, 1888-1978)","Italian","The Evil Genius of a King",,,"1914-1915",,,,"oil on canvas",,,"Painting","Museum of Modern Art, New York, NY, USA",112.1936,,,,,,,"Black and white reproduction of color painting",,,"Carl Einstein, ""Die Kunst des 20. Jarhunderts,"" 1931, p. 413.",,,"i12-07172",,,,
616018,"i12-02653.tif","Benois, Alexandre (Russian painter, 1870-1960)",,"Petrushka's room in Backdrop for Petrushka",,,1948,,,,"watercolor, gouache, and ink",,,"Painting","Collection of Nina and Nikita D. Lobanov-Rostovsky",,,,,,,,,,,"Bowlt, ""Theater of Reason/Theater of Desire, the Art of Alexandre Benois and Leon Bakst,"" p. 75.",,,"i12-02653",,,"Ballets Russes",
616745,"i12-02984.tif",,"Greek, Hellenistic","Volos Museum Stele #139",,,"Hellenistic",,,,,,,"Painting","Volos Museum, Volos, Greece",139,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. Film processed Oct. 1964.",,,"i12-02984","Copyright: IFA/NYU","Demetrias, Greece",,
616752,"i12-02989.tif",,"Greek, Hellenistic","Volos Museum Stele #28",,,"Hellenistic",,,,,,,"Painting","Volos Museum, Volos, Greece",28,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. (Date of slide unknown; likely 1960s)",,,"i12-02989","Copyright: IFA/NYU","Demetrias, Greece",,
616773,"i12-03005.tif",,,"Stele of Arisstokles of Demetrias",,,"Hellenistic",,,,,,,"Painting","Volos Museum",2,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003.",,,"i12-03005",,"Demetrias, Greece","(Arvanitopoullos, YS pl. 4)",
616780,"i12-03009.tif",,,"Stele from Third Tower of Demetrias",,,"Hellenistic",,,,,,,"Painting","Volos Museum",355,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003.",,,"i12-03009",,"Demetrias, Greece",,
616832,"i12-03038.tif","Velázquez, Diego (Spanish painter, 1599-1660)","Spanish","Las Meninas",,,"ca. 1656",,,,"oil on canvas",,,"Painting","Museo del Prado, Madrid, Spain","P01174",,,,,,,"detail, view of the menina María Agustina Sarmiento",,,"Serraller, ""Las Meninas de Velázquez,"" 1995, p. 103.",,,"i12-03038",,,,
616846,"i12-03040.tif","Velázquez, Diego (Spanish painter, 1599-1660)","Spanish","Las Meninas",,,"ca. 1656",,,,"oil on canvas",,,"Painting","Museo del Prado, Madrid, Spain","P01174",,,,,,,"detail, view of the face of Velázquez",,,"Serraller, ""Las Meninas de Velázquez,"" 1995, p. 121.",,,"i12-03040",,,,
617262,"i12-03775.tif","Díaz, Gonzalo (Chilean, born 1945)","Chilean","Historia sentimental de la pintura chilena (Sentimental History of Chilean Painting)",,,1982,,,,"graphite, spray paint, industrial enamel, rubber stamps, and objects on cotton paper",,,"Painting","Collection Reinaldo Harnecker, Santiago, Región Metropolitana de Santiago, Chile",,,,,,,,"detail of two triptychs of a conveyer belt that revolved around the exhibition space; 100 x 80 cm (detail) / 100 x 1,100 cm (whole work)",,,"""Copiar el Edén: Arte reciente en Chile / Copying Eden: Recent Art in Chile,"" p. 245",,,"i12-03775",,,,
619816,"i12-05961.tif","Tamayo, Rufino (Mexican painter, 1899-1991)","Mexican","Day and Night (El día y la noche)",,,1954,,,,"oil on canvas",,,"Painting","Museo Soumaya, Mexico City, Distrito Federal, Mexico",,,,,,,,,,,"Diana C. Du Pont, ed., ""Tamayo: A Modern Icon Reinterpreted,"" pp. 234-235, pl. 103",,,"i12-05961",,,,
616753,"i12-02990.tif",,"Greek, Hellenistic","Volos Museum Stele #29",,,"Hellenistic",,,,,,,"Painting","Volos Museum, Volos, Greece",29,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. (Date of slide unknown; likely 1960s)",,,"i12-02990","Copyright: IFA/NYU","Demetrias, Greece",,
616757,"i12-02993.tif",,"Greek, Hellenistic","Volos Museum Stele #244",,,"Hellenistic",,,,,,,"Painting","Volos Museum, Volos, Greece",244,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. (Date of slide unknown; likely 1960s)",,,"i12-02993","Copyright: IFA/NYU","Demetrias, Greece",,
616782,"i12-03011.tif",,,"Stele of Onesimos of Demetria",,,"Hellenistic",,,,,,,"Painting","Volos Museum",19,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003.",,,"i12-03011",,"Demetrias, Greece","Fraser dates this to 300-275 BC",
616786,"i12-03013.tif",,,"Stele of Archippos of Demetrias",,,"Hellenistic",,,,,,,"Painting","Volos Museum",25,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003.",,,"i12-03013",,"Demetrias, Greece","Fraser dates this to late 3/early 2C BC",
616798,"i12-03020.tif",,,"Volos Museum Stele #45",,,"Hellenistic",,,,,,,"Painting","Volos Museum",45,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. (Date of slide unknown; possibly 1960s)",,,"i12-03020","Copyright: IFA/NYU","Demetrias, Greece",,
616825,"i12-03036.tif","Velázquez, Diego (Spanish painter, 1599-1660)","Spanish","Las Meninas",,,"ca. 1656",,,,"oil on canvas",,,"Painting","Museo del Prado, Madrid, Spain","P01174",,,,,,,"detail, view of Marcela de Ulloa and a guardadamas",,,"Serraller, ""Las Meninas de Velázquez,"" 1995, p. 97.",,,"i12-03036",,,,
617401,"i12-04437.tif",,"Egyptian","Osiris",,,,,,,,,,"Painting",,,"Egypt",,,,,,,,,"D. O'Connor, Abydos Archive",,,"i12-04437",,,"D. O'Connor, spring 2012, FINH-GA 2087-001",
617935,"i12-05261.tif",,"Greek, Macedonia","Walls of tomb at Aineia",,,"340-330 BC",,,,"painted plaster on stone wall",,,"Painting",,,"Aineia, Greece",,,,,,"tumulus A, tomb II; in situ",,,"Sophie Descamps-Lequime, ""Au Royaume d'Alexander le Grand: La Macedoine Antique,""  p. 312-313, fig. 58-59.",,,"i12-05261",,,,
617951,"i12-05277.tif",,"Greek, Macedonia","detail of marble Kline from Potidea with Griffins",,,"end 4c BC",,,,"paint on marble",,,"Painting","Thessaloniki Archaeological Museum, Thessaloniki, Greece",,,,,,,,,,,"Sophie Descamps-Lequime, ""Au Royaume d'Alexander le Grand: La Macedoine Antique,""  p. 417, fig. 82.",,,"i12-05277",,,,
619788,"i12-05693.tif",,"Sogdian","Drawing of detail of a wall painting from Afrasiab",,,,,,,,,,"Drawing",,,,,,,,,"7c AD, detail of Giftbearer",,,"Belenizki, ""Mittelasien Kunst der Sogden,"" p. 14.",,,"i12-05693",,,,
620886,"i12-07043.tif","Borgoña, Juan de (Burgundian, active in Spain painter, active from 1495; died ca. 1535)","Spanish","Visitation",,,"1509-1511",,,,,,,"Wall painting","Toledo Cathedral, Chapter House (Sala Capitular), Toledo, Castile-La Mancha, Spain",,,,,,,,,,,"Mateo Gómez, ""Juan de Borgoña,"" 2004, p. 77.",,,"i12-07043",,,"J. Brown, summer 2012",
616111,"i12-02746.tif","Gorgos","Greek, Archaic","Achilles and Memnon",,,"ca. 510-500 BC",,,,"ceramic (Attic red figure)",,,"Vase painting",,,"Athens, Attica, Greece",,,,,,"Exterior detail of a red-figure kylix (cup). Cup is signed on the interior, ""GORGOS EPOIESEN,"" and inscribed on the exterior, ""KRATES KALOS."" From a Late Archaic well near the Stoa of Attalos. Agora excavation inventory number P 24113.",,,"""Hesperia"" 24 (1955), pl. 30.",,,"i12-02746",,,"G. Kopcke, fall 2011.",
616737,"i12-02979.tif",,"Greek, Hellenistic","Volos Museum Stele #126",,,"Hellenistic",,,,,,,"Painting","Volos Museum, Volos, Greece",126,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003.  (Date of slide unknown; likely 1960s)",,,"i12-02979","Copyright: IFA/NYU","Demetrias, Greece",,
616771,"i12-03004.tif",,,"Stele of Hediste of Demetrias",,,"Hellenistic",,,,,,,"Painting","Volos Museum",1,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003.",,,"i12-03004",,"Demetrias, Greece","(Arvanitopoullos, YS pl. 2)",
616819,"i12-03032.tif","Velázquez, Diego (Spanish painter, 1599-1660)","Spanish","Las Meninas",,,"ca. 1656",,,,"oil on canvas",,,"Painting","Museo del Prado, Madrid, Spain","P01174",,,,,,,"detail, view of upper register of painting",,,"Serraller, ""Las Meninas de Velázquez,"" 1995, p. 88-89.",,,"i12-03032",,,,
617399,"i12-04435.tif",,"Egyptian","Allegorical representation of the world",,,"c. 1069-945 BC/21st Dynasty/Third Intermediate Period",,,,"Papyrus painted with black ink and pigments",,,"Painting","Louvre, Paris, France","E 17401","Thebes, Egypt",,,,,,"from book of mythological images in the name of Nespakashuty, accountant of the granaries of Amun",,,"D. O'Connor, Abydos Archive",,,"i12-04435",,,"D. O'Connor, spring 2012, FINH-GA 2087-001",
617939,"i12-05265.tif",,"Greek, Macedonia","Detail from tomb of the Philosophers, Pella",,,"late 4c BC",,,,"painting on plastered stone",,,"Painting",,,"Pella, Greece",,,,,,"in situ",,,"Sophie Descamps-Lequime, ""Au Royaume d'Alexander le Grand: La Macedoine Antique,""  p. 363, fig. 70.",,,"i12-05265",,,,
620804,"i12-06854.tif","Morais, Frederico (Brazilian)","Brazilian","Lesson 15: Homage to Mondrian: When life has balance we will not need paintings and sculptures. Everything will be art. The death of life is the life of art. Art = Life. (Lição 15: Homenagem a Mondrian: Quando a vida tiver equilíbrio não teremos necessidade de pinturas e esculturas. Tudo sera arte. A morte da vida é a vida da arte. Arte = vida.)",,,1970,,,,,,,"Sculpture","Collection Frederico Morais, Brazil",,,,,,,,"from the series “Quinze Lições sobre Arte e História da Arte – Apropriações: Homenagens e Equações” (Fifteen Lessons about Art and Art History – Appropriations: Homages and Equations) in the exhibition “Do Corpo à Terra” (From the Body to the Earth), Parque Municipal, Belo Horizonte",,,"Museu de Arte da Pampulha, ""Neovanguardas: Museu de Arte da Pampulha 50 anos,"" exhibition catalog, 2008, postcard number 15",,,"i12-06854",,,"K. Brodbeck, spring 2012",
620890,"i12-07047.tif","Borgoña, Juan de (Burgundian, active in Spain painter, active from 1495; died ca. 1535)","Spanish","Return of Cardinal Cisneros",,,1514,,,,,,,"Wall painting","Toledo Cathedral, Mozarab Chapel (Capilla Mozárabe), Toledo, Castile-La Mancha, Spain",,,,,,,,,,,"Mateo Gómez, ""Juan de Borgoña,"" 2004, p. 97.",,,"i12-07047",,,"J. Brown, summer 2012",
642776,"1067_smith_5.jpg","Smith, Morgan and Marvin (American, b. February 16, 1910; Morgan d. 1993, Marvin d. 2003)",,"Marvin painting a self-portrait",,,"c. 1940",,,,"Silver Gelatin Print",,,,,,,,,,,,,,,"Harlem: The Vision of Morgan and Marvin Smith; Foreword by Gordon Parks Sr.; Introduction by James A. Miller; The University Press of Kentucky; Lexington, 1998",,,"pi00752","Copyright: Marvin P. Smith, Monica P. Smith Sr., and Monica P. Smith, Jr.",,,
642793,"1106_muniz_13.jpg","Muniz, Vik (Brazilian, Lives and works in New York City, b. 1961)",,"The Smokers",,,2002,,,,"Color Photograph",,,,,,,,,,,,"From ""The Back of Paintings""",,,"Reflex: A Vik Muniz Primer; Vik Muniz; Aperture; New York, 2006",,,"pi01597","Copyright: Vik Muniz",,,
643879,"muniz_14.jpg","Muniz, Vik (Brazilian, Lives and works in New York City, b. 1961)",,"Starry Night",,,2002,,,,"Color Photograph",,,,,,,,,,,,"From ""The Back of Paintings""",,,"Reflex: A Vik Muniz Primer; Vik Muniz; Aperture; New York, 2006",,,"pi01598","Copyright: Vik Muniz",,,
708062,"i12-05782.tif",,"Aegean","Lion and griffin",,,"Late Helladic III B (13c BC)",-1300,-1200,"Mainland","fresco",,"Architecture and City Planning|Paintings","Wall painting ",,,"Epano/Ano Englianos",,,,,"Greece","From the Queen's Hall (Room 46), Pylos Palace",,,"G. Kopcke postcard",,,"i12-05782",,"Pylos",,"G. Kopcke, fall 2012, FINH-GA 2024-001"
694831,"i12-05844.tif",,"Islamic, Ottoman","Ottoman carpet",,,"17c",1600,1699,,"wool","72 x 58 1/4 in.","Decorative Arts, Utilitarian Objects and Interior Design","Textile; Carpet","Museum of Turkish and Islamic Arts, Istanbul, Marmara, Turkey",704,,,,,,,"Octagon in square design; Bergama Distract; large pattern Holbein carpet. A similar rug appears in a late 15th century painting but this example is probably 17th century.",,,"""Art Treasures of Turkey,"" #271. IFA 35mm slide, no accession number.",,,"i12-05844",,,,"P. Soucek, summer 2012"
694834,"i12-05847.tif",,,"Diagram of carpet in Giovanni di Paolo's Madonna, Child, and Angels",,,"ca. 1482",1477,1487,,,,"Decorative Arts, Utilitarian Objects and Interior Design","Textile; Carpet",,,,,,,,,"painting in The Metropolitan Museum of Art, New York, NY, USA",,,"IFA 35mm slide COL 226",,,"i12-05847",,,,
694816,"i12-05829.tif",,"Islamic, Ottoman","""Bellini"" carpet",,,"first half of the 16c",1500,1550,,"wool","69 x 42 in.","Decorative Arts, Utilitarian Objects and Interior Design","Textile; Carpet","The Metropolitan Museum of Art, New York, NY, USA","22.100.109",,,,,,,"Turkey, Ushak; The significance of the unusual ""keyhole"" motif in the bottom portion of this and other similar carpets is a source of debate. Some scholars interpret it as representing a mihrab (a niche indicating the direction of Mecca) or a gateway, while others see it as a fountain associated with ablutions performed before prayer. Carpets exhibiting this design have come to be known as ""Bellini"" carpets, after the Venetian artist Giovanni Bellini (d. 1516), who portrayed such weavings placed under the feet of the Madonna in his paintings. (MMA website)",,,"""Hali,"" issue 37, 1988, p. 14. IFA 35mm slide 92-3796.",,,"i12-05829",,,,"P. Soucek, summer 2012"
694833,"i12-05846.tif",,,"Painting in the Piazza Del Capitolo, Florence",,,"15c",1400,1499,,,,"Paintings","Painting",,,,,,,,,,"carpet",,"P. Michele, ""Campana il Tappeto Orientale,"" pl. 6. IFA 35mm slide COL 795.",,,"i12-05846",,,,"P. Soucek, summer 2012"
761013,"i12-07635.tif",,"Roman, British, English","Lullingstone Chapel","View of wall painting of praying figures (orantes)",,"3c-4c AD",200,399,,,,"Architecture and City Planning|Paintings","Chapel with wall painting",,," Lullingstone Roman Villa, Kent, England, United Kingdom",,,,,"United Kingdom",,,,"Salway, ""The Oxford Illustrated History of Roman Britain,"" 1993, p. 518.",,,"i12-07635",,,"Rome North of the Alps","G. Kopcke"
755382,"i12-07462.tif",,"Roman","Grave of C. Vestorius Priscus - wall painting",,,"before 79 AD",-99,79,,,,"Paintings","wall painting",,,,"Pompeii",,,,"Italy",,,,"""Kaiser Augustus und die verlorene Republik,"" 1988, p. 39, fig. 14. ",,,"i12-07462",,,,"G. Kopcke, fall 2012, FINH-GA 2024-001."
707894,"i12-05726.tif","Mühlholtzer, Jakob (German painter)","Early Modern Europe","Altarpiece - Herrgottskirche Creglingen",,,1496,1490,1500,"Northern Renaissance",,,"Sculpture and Installations|Paintings","Painting",,,"Creglingen",,,,,"Germany","Right side altarpiece of the Herrgottskirche in Creglingen. Signed, ""Jakob Mühlholtzer, Maler zu Bad Windsheim,"" and dated 1496.",,,"Kopcke postcard",,,"i12-05726",,,,"G. Kopcke, fall 2012, FINH-GA 2024-001"
754805,"i12-07373.tif",,"Roman","Virtual Model of the Villa of P. Fannius Synistor, Room G","looking southwest",,,,,"Roman",,,"Decorative Arts, Utilitarian Objects and Interior Design|Paintings",,,,,,,,,"Italy","The fresco fragment on the south (left) wall is in the Musée Royal de Mariemont, Morlanwelz, Belgium (R56); the three fragments on the west wall are in the Museo Archeologico Nazionale di Napoli (S.N. 1).",,,"""The Metropolitan Museum of Art Bulletin,"" Spring 2012, p. 29, fig. 50",,,"i12-07373",,,,"G. Kopcke, fall 2012, FINH-GA 2043-001"
754803,"i12-07372.tif",,"Roman","Garland with a bull's head, a snake emerging from a basket, and a Silenus mask",,,,,,"Roman","fresco","77 x 107 in (195.6 x 271.8 cm)","Paintings","fresco","Metropolitan Museum of Art, New York, NY, United States",03/14/04,,,,,,"Italy","Fragments of a freso from the west wall of Room L of the Villa of Fannius Synistor. This image shows the fresco with the modern restoration of the upper left corner in place.",,,"""The Metropolitan Museum of Art Bulletin,"" Spring 2012, p. 13, fig. 14",,,"i12-07372",,,,"G. Kopcke, fall 2012, FINH-GA 2043-001"
938659,"i12-06402.tif",,"Roman","Domus Augusti and Livia",,,,-60,25,,,,"Architecture and City Planning","Architecture",,,"Rome, Lazio, Italy",,,,,"Italy","View of room left of tablinum, with wall painting",,,"""Forma Urbis,"" May 1997, p. 22.  IFA 35mm slide 00-8125.",,,"i12-06402",,,,"K. Welch, summer 2012"
754758,"i12-07364.tif","Bouhot, Etienne (French painter, 1780-1862)",,"Palais de Thermes, Paris",,,1845,1845,1845,,,"102 x 86 cm","Architecture and City Planning|Paintings","Painting","des Beaux-Arts de Dijon","CA 233",,,,,,"France",,,,"""Lutèce: Paris de César à Clovis,"" exhibition catalog, 1984, p. 56, pl. XXXII, top",,,"i12-07364",,,"Rome North of the Alps","G. Kopcke, fall 2012, FINH-GA 2043-001"
768588,"i12-07417.tif",,"Roman","Tragic actors",,,"1st century AD",0,99,,"fresco",,"Paintings","wall painting","Museo Archeologico Nazionale di Napoli","Inv. 9039",,"Pompeii, Italy",,,,"Italy","Two stage actors in tragic costumes and masks. Fresco from Pompeii.",,,"Köhne & Ewigleben, ""Caesaren und Gladiatoren,"" 2000, p. 127, fig. 112.",,,"i12-07417",,,,"G. Kopcke, fall 2012, FINH-GA 2024-001"
768805,"i12-03302.tif",,"Macedonian","Tomb of Judgement, Lefkadia: The Deceased",,,"ca. 300 BC",-310,-290,,,,"Architecture and City Planning|Paintings","Architecture; Painting; Site",,,"Lefkadia, Macedonia, Greece",,,,,"Greece","The monumental painted façade of the tomb depicts the single preserved example of the deceased confronted by the Underworld trio (Hermes Psychopompos, Aiakos and Radamanthys). Each of the four figures was painted in fresco at an intercolumniation flanking the entrance to the tomb, two on each side. Here is an image of the deceased, which is placed on the far left side of the façade. The Great Tomb of Lefkadia (or the Tomb of Judgement) is one of four monumental Macedonian tombs found in the immediate vicinity. Discovered by chance in 1942.",,,"Blanche Brown Bequest, 2003","Blanche Brown",,"i12-03302","IFA/NYU","Leukadia, Macedonia, Greece","Brown visited Northern Greece several times. These images likely date to the trip for which film was processed in 1960 or 1965.",
768806,"i12-03303.tif",,"Macedonian","Tomb of Judgement, Lefkadia: Aiakos",,,"ca. 300 BC",-310,-290,,,,"Architecture and City Planning|Paintings","Architecture; Painting; Site",,,"Lefkadia, Macedonia, Greece",,,,,"Greece","The monumental painted façade of the tomb depicts the single preserved example of the deceased confronted by the Underworld trio (Hermes Psychopompos, Aiakos and Radamanthys). Each of the four figures was painted in fresco at an intercolumniation flanking the entrance to the tomb, two on each side. This is an image of Aiakos, a figure known to stand near the entrance of the Underworld. The Great Tomb of Lefkadia (or the Tomb of Judgement) is one of four monumental Macedonian tombs found in the immediate vicinity. Discovered by chance in 1942.",,,"Blanche Brown Bequest, 2003","Blanche Brown",,"i12-03303","IFA/NYU","Leukadia, Macedonia, Greece","Brown visited Northern Greece several times. These images likely date to the trip for which film was processed in 1960 or 1965.",
768807,"i12-03304.tif",,"Macedonian","Tomb of Judgement, Lefkadia: Metopes",,,"ca. 300 BC",-310,-290,,,,"Architecture and City Planning|Paintings","Architecture; Painting; Site",,,"Lefkadia, Macedonia, Greece",,,,,"Greece","The monumental painted façade of the tomb depicts the single preserved example of the deceased confronted by the Underworld trio (Hermes Psychopompos, Aiakos and Radamanthys). Each of the four figures was painted in fresco at an intercolumniation flanking the entrance to the tomb, two on each side. This image captures two of the painted metope and triglyph frieze that runs along the tomb exterior. Battle scenes are depicted in the metopes (though faded, the images were much more abraded when viewed in 2009). The Great Tomb of Lefkadia (or the Tomb of Judgement) is one of four monumental Macedonian tombs found in the immediate vicinity. Discovered by chance in 1942.",,,"Blanche Brown Bequest, 2003","Blanche Brown",,"i12-03304","IFA/NYU","Leukadia, Macedonia, Greece","Brown visited Northern Greece several times. These images likely date to the trip for which film was processed in 1960 or 1965.",
768808,"i12-03305.tif",,"Macedonian","Tomb of Judgement, Lefkadia: The Deceased",,,"ca. 300 BC",-310,-290,,,,"Architecture and City Planning|Paintings","Architecture; Painting; Site",,,"Lefkadia, Macedonia, Greece",,,,,"Greece","The monumental painted façade of the tomb depicts the single preserved example of the deceased confronted by the Underworld trio (Hermes Psychopompos, Aiakos and Radamanthys). Each of the four figures was painted in fresco at an intercolumniation flanking the entrance to the tomb, two on each side. Here is an image of the deceased, which is placed on the far left side of the façade. The Great Tomb of Lefkadia (or the Tomb of Judgement) is one of four monumental Macedonian tombs found in the immediate vicinity. Discovered by chance in 1942.",,,"Blanche Brown Bequest, 2003","Blanche Brown",,"i12-03305","IFA/NYU","Leukadia, Macedonia, Greece","Brown visited Northern Greece several times. These images likely date to the trip for which film was processed in 1960 or 1965.",
768814,"i12-03311.tif",,"Late Classical Greek","Red-Figure Vase Depicting Athena and Poseidon",,,"ca. 400 BC",-410,-390,,"terracotta",,"Decorative Arts, Utilitarian Objects and Interior Design","Ceramics; Vase painting","Archaeological Museum of Pella",,,,,,,"Greece","Macedonians are known for their appreciation of Classical Greek culture, evinced by the imported Attic graves goods. This pot likely was found in a funerary context in the vicinity of Pella. The image was taken in the old Pella Museum. The new museum and its installations opened in 2009 (no photography was allowed at that time).",,,"Blanche Brown Bequest, 2003","Blanche Brown","Film processed August 1982","i12-03311","IFA/NYU",,,
