Category,Name,Date of Appointment,La,Lo,Place,Notes,Degree
,Mr. Jean-Francois DeLaperouse,,,,"Met Museum of Art, The Sherman", ,"MA '87, IFA (GSAS/History of Art and Archaeology); CERT '89, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Emily M. Dellheim,,,, ,NYU Graduate Student,"BA '08, Gallatin (Individualized Major); MA '14, IFA (GSAS/History of Art and Archaeology)"
,Dr. Don W. Denny,,,,Department of Art History,Professor Emeritus,"MA '61, IFA (GSAS/Fine Arts)"
,"Margaret Fields Denton, Ph.D.",,,,University of Richmond,Associate Professor,"PHD '86, IFA (GSAS/Fine Arts)"
Curatorial,"Andria Derstine, Ph.D.",,41.293594,-82.216549,The Allen Memorial Art Museum,Curator,"MA '96, IFA (GSAS/History of Art and Archaeology); PHD '04, IFA (GSAS/History of Art and Archaeology)"
,Dr. Isabelle M. Dervaux,,,,The Morgan Library & Museum,Curator of Modern & Contemporary Drawings,"XX '85, IFA (GSAS/Fine Arts); PHD '92, IFA (GSAS/History of Art and Archaeology)"
,Ms. Julie Lynn DesChamps,,,,Sherman Fairchild Center for Works on Paper, ,"MA '02, IFA (GSAS/History of Art and Archaeology); CERT '04, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Anna Christie di Stasi,,,,Bauer & Di Stasi Art Advisors, ,"MA '08, IFA (GSAS/History of Art and Archaeology)"
,"Beatrice M. Dias, M.D.",,,,Litchfield Hills Dermatology,Dermatologist,"BA '77, WSC; MA '81, IFA (GSAS/Fine Arts)"
,Dr. Layla S. Diba,,,,Decorative Arts Department,Visiting Professor,"MA '72, IFA (GSAS/Fine Arts); PHD '94, IFA (GSAS/History of Art and Archaeology)"
Curatorial,"Claude D. Dickerson, Ph.D.",,32.748612,-97.365136,Kimbell Art Museum,Curator of European Art,PhD 2006
,Dr. Stephanie S. Dickey,,,,Queen's University,Bader Chair in Northern Baroque Art,"MA '81, IFA (GSAS/Fine Arts); PHD '94, IFA (GSAS/History of Art and Archaeology)"
,Dr. Sheila Dillon,,,,Duke University,Associate Professor,"MA '89, IFA (GSAS/Fine Arts); PHD '94, IFA (GSAS/History of Art and Archaeology)"
,Dr. Lois Dinnerstein,,,, ,"Art Historian, Lecturer, Author & Consultant","BA '53, WSC; MA '60, IFA (GSAS/Fine Arts)"
,Ms. Ifigenia A. Dionissiadou,,,,Documentation Department,Department Head,"MA '90, IFA (GSAS/Fine Arts); PA '91, GSAS"
,"Erika Iona Dolphin, Ph.D.",,,,National Gallery of Canada,Assistant Curator to the Chief Curator,"PHD '08, IFA (GSAS/History of Art and Archaeology)"
,Ms. Annemarie McNamara Dominiak,,,, ,Freelance Writer/ Editor,"MA '89, IFA (GSAS/Fine Arts)"
,Ms. Jean E. Dommermuth,,,,Rustin Levenson Art Conservation,Conservator,"MA '94, IFA (GSAS/History of Art and Archaeology); CERT '96, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Dr. Alice A. Donohue,,,,Dept of Classical Archaeology, ,"MA '77, IFA (GSAS/Fine Arts)"
,"Mailan Stephanie Doquang, Ph.D.",,,,Index of Christian Art,Reader,"MA '03, IFA (GSAS/History of Art and Archaeology); PHD '09, IFA (GSAS/History of Art and Archaeology)"
,"Eleni Drakaki, Ph.D.",,40.779187,-73.963535,Metropolitan Museum of Art,Hagop Kevorkian Research Associate ,"MA '00, IFA (GSAS/History of Art and Archaeology); PHD '08, IFA (GSAS/History of Art and Archaeology)"
,"Barbara Drake Boehm, Ph.D.",,40.864863,-73.931727,The Cloisters/Metropolitan Museum of Art,Dept. of Medieval Art,"XX '82, IFA (GSAS/Fine Arts); PHD '90, IFA (GSAS/Fine Arts)"
,Mr. James D. Draper,,,,European Sculpture and Decorative Arts,Curator,"MA '67, IFA (GSAS/Fine Arts)"
,Ms. Jenna E. Drumright,,,,3.1 Philip Lim,Product Development,"AA '04, GSP (General Studies); BA '06, Gallatin (Individualized Major); MA '14, IFA (GSAS/History of Art and Archaeology)"
,"Aruna E. D'Souza, Ph.D.",,,,Research and Academic Program,Associate Director ,"MA '94, IFA (GSAS/History of Art and Archaeology); PHD '99, IFA (GSAS/History of Art and Archaeology)"
,Ms. Joellyn T. Duesberry,,,,Joellyn Duesberry Studios,Owner,"MA '67, IFA (GSAS/Fine Arts)"
,"Lisa Marie Duffy-Zeballos, Ph.D.",,,,International Foundation for Art Research,Director of Art Research,"PHD '07, IFA (GSAS/History of Art and Archaeology)"
,Dr. Martha L. Dunkelman,,,,Canisius College,Professor,"MA '71, IFA (GSAS/Fine Arts)"
,Ms. Elisabeth Dunn,,,,"Shared Serv Fin, Curriculum Grp",Director,"MA '88, IFA (GSAS/Fine Arts)"
,Ms. Isabelle Duvernois,,,,Paintings Conservation Dept.,Associate Conservator,"MA '03, IFA (GSAS/History of Art and Archaeology); CERT '03, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Dr. Eugene J. Dwyer,,,,Kenyon College,Professor of Art History,"MA '67, IFA (GSAS/Fine Arts)"
,"Dr. Joseph M. Dye, III",,,,Asian Art Department,Curator,"XX '71, IFA (GSAS/Fine Arts)"
,Dr. Wayne R. Dynes,,,,Hunter College (CUNY),"Professor of Art History, emeritus","XX '69, IFA (GSAS/Fine Arts)"
,"Susan E. Earle, Ph.D.",,,,Spencer Museum of Art,Curator/Art Historian,"MA '88, IFA (GSAS/Fine Arts); PHD '98, IFA (GSAS/History of Art and Archaeology)"
,"Martha E. Easton, Ph.D.",,,,Bryn Mawr College,Research Associate,"MA '91, IFA (GSAS/History of Art and Archaeology); PA '94, IFA (GSAS/Curatorial Studies); PHD '01, IFA (GSAS/History of Art and Archaeology)"
,Mrs. Vivian L. Ebersman,,,,AXA Art Insurance Corp.,"Director, Art Experience","MA '66, IFA (GSAS/Fine Arts)"
,Ms. Susan E. Ebner-McDougall,,,,Society of Architectural Historians,Volunteer,"MA '85, IFA (GSAS/Fine Arts)"
,Dr. Betty Tseng Ecke,,,,Honolulu Academy of Arts,Professor Emeritus,"XX '72, IFA (GSAS/Fine Arts)"
,Ms. Beth M. Edelstein,,40.779187,-73.963535,Metropolitan Museum of Art,Assistant Conservator,"MA '04, IFA (GSAS/History of Art and Archaeology); CERT '04, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Holly Edwards,,,,Williams College,Lecturer,"PHD '90, IFA (GSAS/Fine Arts)"
,Ms. Elise S. Effmann Clifford,,,,Fine Arts Museums of San Francisco,Associate Conservator of Paintings,"CERT '00, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '00, IFA (GSAS/History of Art and Archaeology)"
,Dr. Erica O. Ehrenberg,,,,New York Academy of Art,Dean and Director,"MA '87, IFA (GSAS/Fine Arts); PHD '98, IFA (GSAS/History of Art and Archaeology)"
,"Yvonne H. Elet, Ph.D.",,,,Vassar College,Assistant Professor,"MA '95, IFA (GSAS/History of Art and Archaeology); CERT '06, IFA (GSAS/Curatorial Studies); PHD '07, IFA (GSAS/History of Art and Archaeology)"
Curatorial,"Carol S. Eliel, Ph.D.",,34.063932,-118.359229,Los Angeles County Museum of Art,Curator of  Modern & Contemorary Art,"MA '79, IFA (GSAS/Fine Arts); PHD '85, IFA (GSAS/Fine Arts)"
,Ms. Michelle Anna Elkins,,,, , ,"MA '09, IFA (GSAS/History of Art and Archaeology)"
,Ms. Justine Egner Ellis,,,,"Oka Bokkodo Co., Ltd.", ,"CERT '12, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '12, IFA (GSAS/History of Art and Archaeology)"
,Ms. Margaret Holben Ellis,,40.776338,-73.964047,Institute of Fine Arts,Eugene Thaw Professor of Paper Conservation,"CERT '79, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '79, IFA (GSAS/History of Art and Archaeology)"
,Ms. Marianne V. Elrick-Manley,,,,Elrick-Manley Fine Art Inc.,Director,"MA '81, IFA (GSAS/Fine Arts)"
,Ms. Marilyn C. Ereshefsky,,,,US Department of State,Diplomat & Foreign Service Officer,"XX '80, IFA (GSAS/Fine Arts)"
,Ms. Jennifer Eskin,,,,Riverdale Country School,"Teacher, History and Art History","MA '90, IFA (GSAS/Fine Arts); MA '97, IFA (GSAS/History of Art and Archaeology)"
,Ms. Elizabeth B. Estabrook,,,,Amann and Estabrook Conservation Associates,Paintings Conservator,"MA '87, IFA (GSAS/History of Art and Archaeology); CERT '89, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Dr. Helen C. Evans,,,,Byzantine Art,Mary and Michael Jaharis Curator for,"MA '79, IFA (GSAS/Fine Arts)"
,Mr. David A. Eyler,,,,Miller's Cafe and Bakery,Chef/ Owner,"MA '94, IFA (GSAS/History of Art and Archaeology)"
,"Michelle M. Facos, Ph.D.",,,,Indiana University,Professor,"XX '83, IFA (GSAS/Fine Arts); PHD '89, IFA (GSAS/Fine Arts)"
,Ms. Delana Joy Farley,,,,Museum of Contemporary Native Arts,Registrar,"MA '08, IFA (Museum Studies)"
,Ms. Biri Fay,,,, ,Egyptologist Specializing on Egyptian Art,"MA '92, IFA (GSAS/History of Art and Archaeology)"
,Ms. Allyson Loeb Feeney,,,,Exploratorium,Project Coordinator,"MA '10, IFA (Museum Studies)"
,Dr. Roni D. Feinstein,,,, ,Independent Curator/Writer,"MA '80, IFA (GSAS/Fine Arts); PHD '90, IFA (GSAS/Fine Arts)"
,"Sharon H. Ferguson, Ph.D.",,,,Lamar Dodd School of Art,Part-Time Instructor,"MA '96, IFA (GSAS/History of Art and Archaeology); PHD '05, IFA (GSAS/History of Art and Archaeology)"
,Ms. Joanna E. Fink,,,,Alpha Gallery,Director,"BA '80, WSC; MA '83, IFA (GSAS/Fine Arts)"
,Dr. Irving L. Finkelstein,,,,Georgia State University,Professor Emeritus,"MA '64, IFA (GSAS/Fine Arts)"
,Ms. Carolyn Maxwell Finn,,,,Nielsen Media Research International,"Vice President, Human Resources","MA '91, IFA (GSAS/Fine Arts)"
,Mr. Ross A Finocchio,,,,, ,"BA '01, CAS (English and American Literature, Fine Arts); MA '06, IFA (GSAS/History of Art and Archaeology); PHD '13, IFA (GSAS/History of Art and Archaeology)"
,"Theresa Lynn Flanigan, Ph.D.",,,,The College of Saint Rose,Assistant Professor,"PHD '06, IFA (GSAS/History of Art and Archaeology)"
,"Laurel Ann Flentye, Ph.D.",,,, , ,"PHD '06, IFA (GSAS/History of Art and Archaeology)"
,"Holly D. Flora, Ph.D.",,,,Tulane University,Assistant Professor,"MA '98, IFA (GSAS/History of Art and Archaeology); PHD '05, IFA (GSAS/History of Art and Archaeology); CERT '05, IFA (GSAS/Curatorial Studies)"
,Mr. John F. Flotte,,,, , ,"CERT '96, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '96, IFA (GSAS/History of Art and Archaeology)"
,Ms. Elizabeth R. Fodde-Reguer,,,,The International Fine Print ,Executive Assistant,"MA '10, IFA (GSAS/History of Art and Archaeology)"
,Ms. Shalimar Abigail Fojas White,,,,"ARTstor, Inc.",Collection Development Manager,"MA '03, IFA (GSAS/History of Art and Archaeology)"
,Ms. L. Susan Forster,,,,Self-Employed, ,"MA '87, IFA (GSAS/Fine Arts)"
,Ms. Megan Holloway Fort,,,,The Magazine Antiques,Writer,"MA '98, IFA (GSAS/History of Art and Archaeology)"
,Ms. Rikke R. Foulke,,,,Foulke Fine Art Conservation,Paintings Conservator,"MA '98, IFA (GSAS/History of Art and Archaeology); CERT '98, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Judith C. Fox,,,,Judy Fox Studio,Owner,"MA '84, IFA (GSAS/History of Art and Archaeology); CERT '84, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Dr. Marcel M. Franciscono,,,,University of Illinios at Urbana-Champaign,Art Historian,"MA '59, IFA (GSAS/Fine Arts); PHD '68, IFA"
,"Wayne E. Franits, Ph.D.",,,,Department of Art and Music Histories,Professor of Art History ,"PHD '87, IFA (GSAS/Fine Arts)"
,Dr. Eric M. Frank,,,,Department of Art History,Professor,"PHD '88, IFA (GSAS/Fine Arts)"
,Ms. Suzanne P. Fredericks,,,,"Oliver Hill Dairy, Inc.",Paintings Conservator,"MA '83, IFA (GSAS/History of Art and Archaeology); CERT '85, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Dr. Rita E. Freed,,,,Museum of Fine Arts,"Chair, Art of the Ancient World","XX '76, IFA (GSAS/Fine Arts)"
,"Jack W. Freiberg, Ph.D.",,,,Florida State University,Associate Professor and Associate Dean,"MA '74, IFA (GSAS/Fine Arts); PHD '88, IFA (GSAS/Fine Arts)"
,Ms. Sandra E. Gilbert-Freidus,,,,Rizzoli Intl. Publications/Universe Publ, ,"XX '76, WSC; XX '80, IFA (GSAS/Fine Arts)"
,Ms. Susan P. Freudenheim Core,,,,Tribe Media Corp.,Managing Editor,"XX '79, IFA (GSAS/Fine Arts)"
,Ms. Leslie M. Freudenheim,,,, , ,"MA '66, IFA"
,Mr. Tom L. Freudenheim,,,,"Seiden Krieger Associates, Inc.",Museum Advisor,"MA '66, IFA (GSAS/Fine Arts)"
Conservation,Mr. Joseph E. Fronek,,34.063932,-118.359229,Los Angeles County Museum of Art,Conservator,"CERT '81, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Aimee Elisabeth Froom, Ph.D.",,,,"Museum of Fine Arts, Houston",Curator of Islamic Art,"PHD '01, IFA (GSAS/History of Art and Archaeology)"
,Ms. Sayaka Fujioka,,,,Amann & Estabrook Conservation Assoc., ,"MA '08, IFA (GSAS/History of Art and Archaeology)"
,Mr. Peter R. Fusco,,,,Decorative Arts Department,Curator,"XX '72, IFA (GSAS/Fine Arts)"
Non-profit Arts Administration,Ms. Lindsay Ann Gabryszak,,40.78298,-73.958971,Solomon R. Guggenheim Museum,Development Associate,MA 2007
Curatotial,Dr. Susan G. Galassi,,40.771277,-73.967134,The Frick Collection,Curator,"PHD '91, IFA (GSAS/History of Art and Archaeology)"
,Dr. Kathryn Calley Galitz,,40.779187,-73.963535,Metropolitan Museum of Art,Assistant Curator in 19th Century Art,"PHD '98, IFA (GSAS/History of Art and Archaeology)"
,"Janne J. Gallen-Kallela-Sirén, Ph.D.",,,,Albright-Knox Art Gallery,Director,"MA '95, IFA (GSAS/History of Art and Archaeology); PHD '01, IFA (GSAS/History of Art and Archaeology)"
Conservation,Ms. Heather Galloway,,41.48949,-81.711361,Intermuseum Conservation Association,Painting Conservator,Certificate in Conservation 1994
,"Jorge A. Garcia-Tuduri, Esq.",,,,NYC Law Department,Senior Counsel,"MA '77, IFA (GSAS/Fine Arts); JD '80, Law"
,Ms. Rosemarie Garipoli,,,,The Campaign for Lincoln Center,Executive Director,"XX '66, WSC; MA '69, IFA"
,"John N. Garton, Ph.D.",,,,Clark University,Assistant Professor of Art History,"MA '99, IFA (GSAS/History of Art and Archaeology); PHD '03, IFA (GSAS/History of Art and Archaeology)"
,Ms. Alison Beth Gass,,,,Eli and Edythe Broad Art Museum,Curator and Deputy Director,"MA '04, IFA (GSAS/History of Art and Archaeology)"
,"Jasper Gaunt, Ph.D.",,,,Michael C. Carlos Museum of Emory University,Curator of Greek & Roman Art,"MA '95, IFA (GSAS/History of Art and Archaeology); PHD '02, IFA (GSAS/History of Art and Archaeology)"
,Dr. Josephine Gear,,,,"Program in Museum Studies, NYU",Adjunct Associate Professor,"BA '69, WSC; PHD '70, IFA (GSAS/Fine Arts)"
Non-profit Arts Administration,"Mia Reinoso Genoni, Ph.D.",,41.310185,-72.928264,Yale University,Dean Berkeley College,"MA '00, IFA (GSAS/History of Art and Archaeology); PHD '07, IFA (GSAS/History of Art and Archaeology)"
Education,Ms. Maryl B. Gensheimer,,38.986918,-76.942554,University of Maryland,"Assistant Professor, Roman Art and Architecture","MA '08, IFA (GSAS/History of Art and Archaeology); PHD '13, IFA (GSAS/History of Art and Archaeology)"
,Ms. Claire H. Gerhard,,,,"CHG Art Conservation Services, Inc.", ,"CERT '93, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Sharon E. Gerstel, Ph.D.",,,,UCLA,Professor of Byzantine Art & Archaeology,"MA '86, IFA (GSAS/Fine Arts); PHD '93, IFA (GSAS/History of Art and Archaeology)"
,Ms. Pamela Gettinger,,,, ,Marketing Consulting,"MA '86, IFA (GSAS/Fine Arts)"
,"Kathryn J. Gettles-Atwa, Esq.",,,,"Wachtell, Lipton, Rosen & Katz",Counsel,"BA '94, WSC (Fine Arts); MA '97, IFA (GSAS/History of Art and Archaeology); JD '01, Law"
,Ms. Asiyeh Ziai Gharagozlou,,,, ,Art Consultant,"MA '78, IFA (GSAS/Fine Arts)"
,Count Manfredi Della Gherardesca,,,,MDG Fine Arts Ltd.,Director,"MA '88, IFA (GSAS/Fine Arts)"
,"David M. Gillerman, Ph.D.",,,,Corporate and Foundation Relations,Deputy Director,"PHD '87, IFA (GSAS/Fine Arts)"
Curatorial,"Christine Suzanne Giviskos, Ph.D.",,40.499916,-74.445943,Zimmerli Art Museum,Associate Curator,PhD 2014
Miscellaneous,Randy David Gladman,,43.645901,-79.38432,Triovest,Director of Development,MA 2001
Miscellaneous,Mrs. Nancy Sheiry Glaister,,,,Fine & Rare Books, ,1970
For-profit Arts Professional,Mr. Adam Daniel Glick,,40.750166,-74.00437,Galerie Lelong,Associate Director,"MA '09, IFA (GSAS/History of Art and Archaeology)"
For-profit Arts Professional,Ms. Mildred L. Glimcher,,40.761892,-73.97204,The Pace Gallery,Director Special Projects,"MA '86, IFA (GSAS/Fine Arts)"
,Ms. Laura M. Gobbi,,,, , ,"MA '93, IFA (GSAS/History of Art and Archaeology)"
,Ms. Nancy J. Goeschel,,,,New York Landmarks Preservation Commission,Landmark Preservation Specialist,"XX '74, IFA (GSAS/Fine Arts)"
,"Deborah A. Goldberg, Ph.D.",,,,Sotheby Master's Program in American Art,Consulting Professor; Art Historian,"MA '90, IFA (GSAS/History of Art and Archaeology); PHD '00, IFA (GSAS/History of Art and Archaeology)"
,Ms. Meghan Young Goldmann,,,,Collector Systems,VP Conservation & Restoration Services,"MA '02, IFA (GSAS/History of Art and Archaeology); CERT '02, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Eleanor Hope Goodman, Ph.D.",,,,Penn State Press,Executive Editor for Art and Humanities,"PHD '01, IFA (GSAS/History of Art and Archaeology)"
Miscellaneous,"John A. Goodman, Jr., Ph.D.",,,, ,Translator & Art Historian,PhD 1991
"Editors, Writers or Publishers",Mr. Adam Gopnik,,,,The New Yorker,Editor,"MA '84, IFA (GSAS/Fine Arts)"
,Ms. Elizabeth Gorayeb,,,,Sotheby's,Assistant Vice President,"MA '01, IFA (GSAS/History of Art and Archaeology)"
Non-profit Arts Administration,"Emilie E.S. Gordenker, Ph.D.",,52.080421,4.314301,Mauritshuis,Director,"MA '92, IFA (GSAS/History of Art and Archaeology); PHD '98, IFA (GSAS/History of Art and Archaeology)"
Conservation,Mr. Eric A. Gordon,,39.296593,-76.6161,The Walters Art Museum,Head of Painting Conservation,Certificate in Conservation 1980
,"Lois R. Granato, Ph.D.",,,, ,Independent Scholar,"BA '70, WSC; MA '72, IFA (GSAS/Fine Arts); PHD '08, IFA (GSAS/History of Art and Archaeology)"
,Ms. Ellen J. Grand,,,,c/o Caffe Bianco, ,"MA '69, IFA (GSAS/Fine Arts)"
Miscellaneous,Ms. Melissa L. Greenberg,,,,Rutgers University,Graduate Student,MA 2011
,Ms. Alison de Lima Greene,,,,"Museum of Fine Arts, Houston","Curator, Modern & Contemporary Art","MA '81, IFA (GSAS/Fine Arts)"
,"Michele M. Greet, Ph.D.",,,,George Mason University,Associate Professor,"PHD '04, IFA (GSAS/History of Art and Archaeology)"
,Ms. Jane Tilley Griffin,,,,Smithsonian Institution Associates,Lecturer on Asia,"MA '58, IFA (GSAS/Fine Arts)"
Conservation,Ms. Patricia S. Griffin,,41.508915,-81.604643,Cleveland Museum of Art,Assistant Conservator of Objects,Certificate in Conservation 1992
,Ms. Ruth Grim,,,,The Bass Museum of Art,Curator,"MA '88, IFA (GSAS/Fine Arts)"
,Ms. Elayne Grossbard,,,,Judah L. Magnes Museum,Judaica Curator,"MA '79, IFA (GSAS/History of Art and Archaeology); CERT '79, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Shary E. Grossman,,,, , ,"XX '71, Heights; MA '76, IFA (GSAS/Fine Arts)"
,Ms. Nica M. Gutman Rieppi,,,,Samuel H. Kress Collection,Associate Conservator,"MA '10, IFA (GSAS/History of Art and Archaeology)"
,Mr. Steven R. Haas,,,, ,Photographer / Editor,"MA '70, IFA (GSAS/Fine Arts)"
,"Elisabeth Hackspiel-Mikosch, Ph.D.",,,,Academy of Fashion and Design,Professor of Fashion Theory,"MA '84, IFA (GSAS/Fine Arts); PHD '99, IFA (GSAS/History of Art and Archaeology)"
,Ms. Kathryn Sullivan Hagen,,,,Whittemore,Research Associate,"MA '08, IFA (GSAS/History of Art and Archaeology)"
,Ms. Nora Hamerman,,,, ,Writer and Lecturer,"MA '69, IFA"
,"Carrie A. Hamilton, Ph.D.",,,, ,Independent Scholar,"MA '90, IFA (GSAS/Fine Arts); PA '92, IFA (GSAS/Curatorial Studies); PHD '95, IFA (GSAS/History of Art and Archaeology)"
,"Amy Kelly Hamlin, Ph.D.",,44.967436,-93.235914,St. Catherine University,Assistant Professor,"PHD '07, IFA (GSAS/History of Art and Archaeology)"
,Prof. Kristine Edmondson Haney,,,,"University of Massachusetts, Amherst",Professor,"XX '72, IFA (GSAS/Fine Arts)"
,Dr. Claire E. Hanley,,,,SUNY Downstate Medical Center,Attending Radiologist,"XX '79, IFA (GSAS/Fine Arts)"
,Ms. Susan Tagliabue Hapgood,,,, , ,"MA '85, IFA (GSAS/Fine Arts)"
Education,Sarah M. Hardin,,42.493784,-71.372222,Middlesex School, ,"MA '12, IFA (GSAS/History of Art and Archaeology)"
Education,Dr. June E. Hargrove,,38.986918,-76.942554,University of Maryland,Professor,"XX '70, IFA (GSAS/Fine Arts)"
,Ms. Ellen Schwartz Harris,,40.761433,-73.977622,Museum of Modern Art, ,"XX '80, IFA (GSAS/Fine Arts)"
,Ms. Susan A. Harris,,,, ,Independent Curator,"MA '82, IFA (GSAS/Fine Arts)"
,Ms. Cynthia Harris-Pagano,,,,Cynthia Harris-Pagano Portraits, ,"MA '67, IFA (GSAS/Fine Arts)"
Curatorial,Dakin Hart,,40.766767,-73.938401,Noguchi Museum,Senior Curator,MA 2006
Education,"Melinda K. Hartwig, Ph.D.",,33.753068,-84.385282,Georgia State University,Associate Professor,PhD 2000
,Ms. Emily Dennis Harvey,,,,SUNY Rockland Community College,Professor of Art History & Department Chair,"MA '68, IFA (GSAS/Fine Arts)"
,Ms. Donna Jo Hassler,,,,The Exhibition Alliance,Board Member,"XX '83, IFA (GSAS/Fine Arts)"
,"Roberta Urich Hatch, Esq.",,,,Private Wealth Advisor,Senior Vice President,"XX '68, IFA (GSAS/Fine Arts); LLM '95, Law (Taxation)"
,Ms. Pamela B. Hatchfield,,42.339381,-71.094048,"Museum of Fine Arts, Boston",Head of Objects Conservation,"MA '86, IFA (GSAS/History of Art and Archaeology); CERT '86, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Tami Dawn Hausman, Ph.D.",,,,Hausman LLC,President,"MA '96, IFA (GSAS/History of Art and Archaeology); PHD '02, IFA (GSAS/History of Art and Archaeology)"
,Ms. Elizabeth C. Hayt,,,, ,Writer ,"MA '88, IFA (GSAS/Fine Arts)"
,"Laura E. Hebert, Ph.D.",,,,"Carrington, Coleman, Sloman",Associate,"BA '90, WSC (Fine Arts); MA '95, IFA (GSAS/History of Art and Archaeology); PHD '00, IFA (GSAS/History of Art and Archaeology)"
,Mr. Michael Heidelberg,,,,"Heidelberg Conservation, LLC", ,"CERT '86, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '86, IFA (GSAS/History of Art and Archaeology)"
,Dr. Kathryn Moore Heleniak,,,,Fordham University,Professor of Art,"PHD '78, IFA (GSAS/Fine Arts)"
,Mr. Etienne J. Hellman,,,,Christie's,International Director / Orientalist,"MA '97, IFA (GSAS/History of Art and Archaeology)"
Curatorial,Ms. Karen Reed Hellman,,34.078808,-118.475026,The J. Paul Getty Museum,Assistant Curator,"MA '04, IFA (GSAS/History of Art and Archaeology)"
,Dr. Gertrude M. Helms,,,, , ,"BA '74, WSC (Fine Arts); CERT '80, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '80, IFA (GSAS/History of Art and Archaeology)"
,"Elizabeth A Hendrix, Ph.D.",,,,Sunny Hill Farm,Conservator,"MA '98, IFA (GSAS/History of Art and Archaeology); CERT '98, IFA (GSAS/Conservation of Hist & Artistic Wrk); PHD '00, IFA (GSAS/History of Art and Archaeology)"
,Dr. Sara L. Henry,,,,"Distinguished Teach Prof of Hum, Emerita",Professor of Art History & NEH ,"MA '66, IFA (GSAS/Fine Arts)"
,Mrs. Cynthia D. Recouso-Herbert,,,,Appretium Appraisal Services,President,"MA '90, IFA (Museum Studies)"
,Ms. Maria A. L. Hermano,,,,Rhode Island School of Design,Special Asst. to the President,"MA '94, IFA (GSAS/History of Art and Archaeology)"
,"Dr. John J. Herrmann, Jr.",,,,Museum of Fine Arts - Retired,"Curator of Classical Art, Emeritus","MA '64, IFA (GSAS/Fine Arts)"
,Ms. Sharon R. Herson,,,, ,Freelance Editor,"MA '70, IFA (GSAS/Fine Arts)"
,Ms. Megan D. Hertzig,,,,, ,"BA '93, WSC (Classics - Fine Arts); MA '01, IFA (GSAS/History of Art and Archaeology)"
,Ms. Cassandra Ray Herzberg,,,,Pace Gallery,Gallery Assistant,"MA '14, IFA (GSAS/History of Art and Archaeology)"
,"Julia P. Herzberg, Ph.D.",,,,Art Museum,adjunct,"BS '66, Education (Foreign Languages, General); MA '87, IFA (GSAS/Fine Arts)"
,Ms. Ann M. Heywood,,40.779187,-73.963535,Metropolitan Museum of Art,Conservator,"MA '86, IFA (GSAS/History of Art and Archaeology); CERT '87, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Marsha L. Hill, Ph.D.",,40.779187,-73.963535,Metropolitan Museum of Art,"Curator, Egyptian Art","MA '90, IFA (GSAS/Fine Arts); PHD '00, IFA (GSAS/History of Art and Archaeology)"
,Ms. Tamara E.W. Hill,,,,"Jewelry Designer, Photographer &","Independent Art Historian/Lecturer,","MA '71, IFA (GSAS/Fine Arts)"
Curatorial,"Valerie Lynn Hillings, Ph.D.",,40.78298,-73.958971,Solomon R. Guggenheim Museum,Associate Curator of Collection and Exhibitions,PhD 2002
Conservator,Mr. John W. Hirx,,34.063932,-118.359229,Los Angeles County Museum of Art,Head Objects Conservator,"MA '87, IFA (GSAS/History of Art and Archaeology); CERT '97, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Michelle Martha Hobart, Ph.D.",,,, ,Adjunct Assistant Professor,"PHD '06, IFA (GSAS/History of Art and Archaeology)"
,Ms. Amy D. Hochberg,,,, ,Yoga Instructor & Writer,"MA '97, IFA (GSAS/History of Art and Archaeology)"
,"Rena Margaret Hoisington, Ph.D.",,,,The Baltimore Museum of Art,"Associate Curator/Dept. Head- Prints, Drawings & Photographs","MA '96, IFA (GSAS/History of Art and Archaeology); PHD '06, IFA (GSAS/History of Art and Archaeology)"
,Ms. Alison Rebecca W. Hokanson,,40.779187,-73.963535,Metropolitan Museum of Art,Research Associate,"MA '04, IFA (GSAS/History of Art and Archaeology); PHD '13, IFA (GSAS/History of Art and Archaeology)"
,"Beth L. Holman, Ph.D.",,,,Bard Graduate Center,Associate Professor,"MA '79, IFA (GSAS/Fine Arts); PHD '91, IFA (GSAS/History of Art and Archaeology)"
,Mr. William G. Holman,,,, , ,"MA '81, IFA (GSAS/Fine Arts)"
